description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Mise en place d'un mobile banking platform with biometric authentication system,Finance,simple,48,english,Application Mobile,MEDIUM,0.0,0.0
Développement d'un système de facturation électronique avec intégration erp,Finance,simple,31,french,Système,MEDIUM,0.0,0.0
Mise en place d'un fraud detection system using machine learning algorithms avec algorithmic,Finance,moyen,62,english,Système,HIGH,0.0,0.0
Système de conformité réglementaire avec rapports automatiques,Finance,simple,50,french,Système,LOW,0.0,0.0
Création d'une fraud detection system using machine learning algorithms,Finance,simple,36,english,Système,HIGH,0.0,0.0
Création d'une système de formation professionnelle avec certification,Education,simple,49,french,Système,MEDIUM,0.0,0.0
Implémentation d'une video course platform with adaptive streaming technology,Education,simple,23,english,Application Web,LOW,0.0,0.0
Implémentation d'une plateforme de cours vidéo avec streaming adaptatif,Education,simple,37,french,SaaS,LOW,0.0,0.0
Implémentation d'une school management application with student progress tracking,Education,simple,22,english,Application Web,HIGH,0.0,0.1111111111111111
Développement d'un plateforme de collaboration étudiante avec outils de projet avec interface utilisateur moderne,Education,simple,44,french,SaaS,LOW,0.0,0.07142857142857142
Implémentation d'une student collaboration platform with project management tools,Education,simple,33,english,Application Web,MEDIUM,0.0,0.1111111111111111
Création d'une application de gestion scolaire avec suivi des élèves,Education,simple,36,french,Application Web,MEDIUM,0.0,0.1
Création d'une online learning platform with adaptive learning paths avec video-streaming,Education,simple,31,english,Application Web,MEDIUM,0.0,0.0
Création d'une application de réalité virtuelle pour l'enseignement scientifique,Education,simple,43,french,Application Web,MEDIUM,0.0,0.0
Mise en place d'un ai-powered course recommendation system,Education,simple,30,english,Système,MEDIUM,0.0,0.0
Développement d'un système de recommandation de cours avec ia avec analytics avancés,Education,simple,30,french,Système,LOW,0.0,0.0
Virtual reality application for scientific education,Education,simple,35,english,Application Web,LOW,0.0,0.0
Implémentation d'une application de gestion scolaire avec suivi des élèves avec SCORM,Education,moyen,73,french,Application Web,LOW,0.0,0.08333333333333333
Création d'une student collaboration platform with project management tools avec haute performance,Education,simple,40,english,Application Web,MEDIUM,0.0,0.08333333333333333
Mise en place d'un système de gestion des examens avec surveillance à distance,Education,simple,33,french,Système,LOW,0.0,0.07692307692307693
Mise en place d'un corporate training platform with roi tracking and analytics,Education,simple,44,english,Application Web,MEDIUM,0.0,0.0
Application de réalité virtuelle pour l'enseignement scientifique,Education,simple,40,french,Application Web,HIGH,0.0,0.0
Création d'une video course platform with adaptive streaming technology,Education,simple,25,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de collaboration étudiante avec outils de projet,Education,simple,34,french,SaaS,HIGH,0.0,0.0
Corporate training platform with ROI tracking and analytics avec authentification SSO,Education,simple,26,english,Application Web,MEDIUM,0.0,0.0
Création d'une système de gestion des examens avec surveillance à distance,Education,simple,22,french,Système,MEDIUM,0.0,0.09090909090909091
Création d'une corporate training platform with roi tracking and analytics avec interface utilisateur moderne,Education,simple,36,english,Application Web,LOW,0.0,0.07142857142857142
Implémentation d'une application de gestion scolaire avec suivi des élèves intégrant des APIs externes,Education,simple,29,french,API REST,MEDIUM,0.0,0.07142857142857142
School management application with student progress tracking avec SCORM,Education,simple,33,english,Application Web,HIGH,0.0,0.1111111111111111
Implémentation d'une plateforme de collaboration étudiante avec outils de projet,Education,simple,33,french,SaaS,MEDIUM,0.0,0.0
Video course platform with adaptive streaming technology avec gamification,Education,simple,48,english,Application Web,MEDIUM,0.0,0.0
Développement d'un application de gamification pour l'apprentissage des langues avec haute performance,Education,simple,47,french,Application Web,LOW,0.0,0.0
School management application with student progress tracking,Education,simple,37,english,Application Web,HIGH,0.0,0.14285714285714285
Application de gamification pour l'apprentissage des langues avec adaptive-learning,Education,moyen,75,french,Application Web,HIGH,0.0,0.0
Implémentation d'une corporate training platform with roi tracking and analytics,Education,simple,22,english,Application Web,HIGH,0.0,0.0
Mise en place d'un plateforme de collaboration étudiante avec outils de projet avec video-streaming intégrant des APIs externes,Education,moyen,72,french,API REST,LOW,0.0,0.0
Création d'une student collaboration platform with project management tools avec collaboration,Education,simple,27,english,Application Web,MEDIUM,0.0,0.09090909090909091
Création d'une plateforme d'apprentissage en ligne avec parcours adaptatifs sécurisé et scalable,Education,simple,34,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une gamified language learning application with progress tracking,Education,simple,30,english,Application Web,LOW,0.0,0.0
Développement d'un plateforme de formation en entreprise avec tracking roi,Education,simple,41,french,SaaS,LOW,0.0,0.0
Développement d'un video course platform with adaptive streaming technology,Education,simple,37,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une système de formation professionnelle avec certification,Education,simple,33,french,Système,HIGH,0.0,0.0
Implémentation d'une gamified language learning application with progress tracking,Education,simple,29,english,Application Web,LOW,0.0,0.0
Implémentation d'une système de formation professionnelle avec certification avec adaptive-learning avec interface utilisateur moderne,Education,simple,40,french,Système,LOW,0.0,0.07142857142857142
Implémentation d'une professional training system with certification management avec adaptive-learning,Education,moyen,63,english,Système,MEDIUM,0.0,0.1
Création d'une application de gamification pour l'apprentissage des langues,Education,simple,32,french,Application Web,MEDIUM,0.0,0.0
Création d'une video course platform with adaptive streaming technology avec SCORM,Education,simple,28,english,Application Web,LOW,0.0,0.0
Plateforme de formation en entreprise avec tracking ROI avec collaboration multi-plateforme,Education,simple,28,french,SaaS,HIGH,0.0,0.0
Mise en place d'un gamified language learning application with progress tracking avec LMS,Education,simple,49,english,Application Web,LOW,0.0,0.0
Plateforme d'apprentissage en ligne avec parcours adaptatifs,Education,simple,46,french,SaaS,LOW,0.0,0.0
Création d'une corporate training platform with roi tracking and analytics avec collaboration,Education,moyen,55,english,Application Web,MEDIUM,0.0,0.0
Création d'une application de gestion scolaire avec suivi des élèves avec haute performance,Education,simple,35,french,Application Web,LOW,0.0,0.07692307692307693
Mise en place d'un ai-powered course recommendation system,Education,simple,39,english,Système,HIGH,0.0,0.0
Application de gamification pour l'apprentissage des langues avec video-streaming,Education,moyen,64,french,Application Web,LOW,0.0,0.0
Mise en place d'un remote examination management system with proctoring,Education,simple,41,english,Système,LOW,0.0,0.1
Système de gestion des examens avec surveillance à distance,Education,simple,44,french,Système,HIGH,0.0,0.1111111111111111
Développement d'un gamified language learning application with progress tracking,Education,simple,48,english,Application Web,HIGH,0.0,0.0
Développement d'un système de formation professionnelle avec certification,Education,simple,20,french,Système,HIGH,0.0,0.0
Implémentation d'une professional training system with certification management,Education,simple,36,english,Système,MEDIUM,0.0,0.125
Mise en place d'un application de gamification pour l'apprentissage des langues,Education,simple,20,french,Application Web,HIGH,0.0,0.0
Corporate training platform with ROI tracking and analytics,Education,simple,33,english,Application Web,LOW,0.0,0.0
Développement d'un application de réalité virtuelle pour l'enseignement scientifique avec gamification,Education,simple,41,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une school management application with student progress tracking avec assessment avec haute performance,Education,simple,29,english,Application Web,HIGH,0.0,0.07142857142857142
Implémentation d'une plateforme de formation en entreprise avec tracking roi avec video-streaming,Education,simple,29,french,SaaS,HIGH,0.0,0.0
Création d'une remote examination management system with proctoring avec analytics avancés,Education,simple,47,english,Système,HIGH,0.0,0.09090909090909091
Création d'une système de gestion des examens avec surveillance à distance,Education,simple,20,french,Système,HIGH,0.0,0.09090909090909091
Implémentation d'une school management application with student progress tracking sécurisé et scalable,Education,simple,21,english,Application Web,MEDIUM,0.0,0.08333333333333333
Mise en place d'un plateforme de formation en entreprise avec tracking roi,Education,simple,34,french,SaaS,HIGH,0.0,0.0
Implémentation d'une remote examination management system with proctoring avec LMS,Education,simple,22,english,Système,HIGH,0.0,0.1
Implémentation d'une plateforme de cours vidéo avec streaming adaptatif avec video-streaming,Education,simple,22,french,SaaS,HIGH,0.0,0.0
Développement d'un gamified language learning application with progress tracking,Education,simple,33,english,Application Web,MEDIUM,0.0,0.0
Création d'une plateforme de formation en entreprise avec tracking roi,Education,simple,46,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une student collaboration platform with project management tools avec video-streaming,Education,moyen,50,english,Application Web,MEDIUM,0.0,0.09090909090909091
Mise en place d'un application de gestion scolaire avec suivi des élèves,Education,simple,31,french,Application Web,HIGH,0.0,0.08333333333333333
Développement d'un video course platform with adaptive streaming technology,Education,simple,43,english,Application Web,MEDIUM,0.0,0.0
Développement d'un système de recommandation de cours avec ia avec collaboration,Education,simple,26,french,Système,HIGH,0.0,0.0
Gamified language learning application with progress tracking avec LMS avec authentification SSO,Education,simple,32,english,Application Web,HIGH,0.0,0.0
Plateforme de cours vidéo avec streaming adaptatif,Education,simple,33,french,SaaS,LOW,0.0,0.0
Mise en place d'un virtual reality application for scientific education,Education,simple,28,english,Application Web,HIGH,0.0,0.0
Développement d'un application de gestion scolaire avec suivi des élèves avec mobile-learning avec authentification SSO,Education,moyen,78,french,Application Mobile,MEDIUM,0.0,0.06666666666666667
